StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_7_TEXT,Q3,Q3_4_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q19_6_TEXT,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your zip code?,Which area of Plum do you live in? - Selected Choice,Which area of Plum do you live in? - One not mentioned above: - Text,Which best describes your home? - Selected Choice,Which best describes your home? - One not mentioned above: - Text,Do you rent or own your home?,How long have you lived at your current residence?,"Please list the number and type of pets that you own. If you do not own any pets, please type ""I do not own any pets.""",For cat owners: Do you allow your cat(s) to roam freely in your neighborhood?,For cat owners: Are all your cats spayed/neutered?,For cat owners: Are all your cats up-to-date on vaccinations?,How often do you see free-roaming cats in your neighborhood?,How often do you intentionally interact with free-roaming cats?,How do you feel about free-roaming cats in your neighborhood? Why?,What effect do you think domestic cats have on native wildlife?,How do you feel your neighborhood would change if all free-roaming cats were removed? Why?,"Are you aware of Plum Ordinance 955-21 regarding free-roaming cats, which was passed in 2021?",Would you support free-roaming cat population management?,Which would be your preferred method of feral cat management in your community?,Please indicate your gender:,Please indicate the race you primarily identify with: - Selected Choice,Please indicate the race you primarily identify with: - One not mentioned above: - Text,Please indicate your age range:
1/3/2023 14:41,1/3/2023 14:45,IP Address,174.203.111.8,100,195,True,1/3/2023 14:45,R_3RfMYxNDbyPmT38,,,,,40.4409,-79.9857,anonymous,EN,15239,Regency Park,,Single-family home,,Own/mortgage,1-4 years,2,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,I never interact with free-roaming cats in my neighborhood.,It’s bothersome because my dogs do not like cats. ,I don’t think inside domestic cats have an impact on wildlife ,I’m not sure. ,No,Yes,Trapping and taking to a shelter,Female,White,,25-34
1/3/2023 15:02,1/3/2023 15:04,IP Address,73.79.192.21,100,127,True,1/3/2023 15:04,R_3Gx4HxPbCowcBPB,,,,,40.476,-79.7355,anonymous,EN,15239,Regency Park,,Single-family home,,Own/mortgage,Over 10 years,1,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,I hate seeing them because I feel like they should live inside if they are a pet. ,,,No,No,Trapping and taking to a shelter,Female,White,,25-34
1/3/2023 15:02,1/3/2023 15:04,IP Address,73.214.1.67,100,164,True,1/3/2023 15:04,R_p6pEo2lr1l94KC5,,,,,40.4467,-79.6842,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,Dogs and cats ,No,Yes,Yes,At least once a week,I never interact with free-roaming cats in my neighborhood.,I don’t mind. It keeps a lot of the rodents away such as mice ,Unsure ,A lot more rodents outside the home ,Yes,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Male,White,,35-44
1/3/2023 15:02,1/3/2023 15:05,IP Address,71.182.148.10,100,209,True,1/3/2023 15:05,R_2RPUGPLghhQHECp,,,,,40.476,-79.7355,anonymous,EN,15068,One not mentioned above:,Ramparts,Single-family home,,Own/mortgage,Over 10 years,"1 dog, 2 cats,  1 bearded dragon,  10 hermit Crabs",No,Yes,Yes,At least once a week,I never interact with free-roaming cats in my neighborhood.,"They frustrate me and cause damage to my property, like peeing in my bushes and aggitating my indoor cats to the point where they have ripped my screens trying to get to the outdoor cat that sits in front of my windows. They also leave dead animals on my porch. Its highly irresponsible of pet owners to allow their cats to roam freely in a neighborhood. ",,,No,Yes,Trapping and taking to a shelter,Female,White,,35-44
1/3/2023 15:04,1/3/2023 15:06,IP Address,174.203.132.176,100,135,True,1/3/2023 15:06,R_sgQn9tpbxO52q5z,,,,,40.352,-78.9393,anonymous,EN,15249,Holiday Park,,Single-family home,,Own/mortgage,5-10 years,4,No,Yes,No,At least once a month,I never interact with free-roaming cats in my neighborhood.,,,,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,45-54
1/3/2023 15:07,1/3/2023 15:10,IP Address,166.196.54.10,100,182,True,1/3/2023 15:11,R_1pzdHFD0CFrqbUP,,,,,33.7667,-84.3363,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,one dog,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,Rarely (once every 2-3 months),I never interact with free-roaming cats in my neighborhood.,I never know if they are “free roaming” or a stray so I do not know what to do. I tend to just leave them be.,It becomes possible prey/predator for other wildlife in the area,"It wouldn’t not change much, only a few cats roam in my area",No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,18-24
1/3/2023 15:09,1/3/2023 15:14,IP Address,108.39.231.142,100,296,True,1/3/2023 15:14,R_bDRqc691b7HOGm5,,,,,40.476,-79.7355,anonymous,EN,,One not mentioned above:,,Single-family home,,Own/mortgage,Over 10 years,2dogs,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,I never interact with free-roaming cats in my neighborhood.,They are a nuisance. They annoy my dogs. ,None,Probably no change,No,Yes,Trapping and euthanizing,Female,White,,55 or older
1/3/2023 15:05,1/3/2023 15:22,IP Address,73.214.237.209,100,1024,True,1/3/2023 15:22,R_3ozOnztoQ8FX0ln,,,,,40.4467,-79.6842,anonymous,EN,15239,One not mentioned above:,Rockland,Single-family home,,Own/mortgage,Over 10 years,3 cats,No,Yes,Yes,At least once a month,Rarely (once every 2-3 months),If it’s someone’s pet then I hope they’re spayed or neutered. Feral cats have every right to any means of survival. ,I believe there are many more issues that affect wildlife than cats. ,I am very much against any type of program other than TNR. ,Yes,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/3/2023 15:50,1/3/2023 15:56,IP Address,96.236.149.96,100,360,True,1/3/2023 15:56,R_YVxO85LokEGHJqV,,,,,40.5346,-79.8805,anonymous,EN,,One not mentioned above:,Ramparts ,Single-family home,,Own/mortgage,Over 10 years,4,No,Yes,Yes,At least once a month,Rarely (once every 2-3 months),Sometimes it is difficult to keep cats indoors. They escape when they see an opening. My cats were feral so it took 8 years to get them to be solid indoor cats. They would attack the doors and each other if they didn’t get out. I let them in my 6 foot vinyl fenced in yard but one still would jump the fence. Now with so many coyotes sightings in my neighbourhood they don’t go out at all. ,I am sure the kill creatures ,I would not like it. Fine owners for not getting cats fixed and leaving them out all hours of the day and night.,Yes,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/3/2023 16:56,1/3/2023 16:57,IP Address,107.77.225.174,100,106,True,1/3/2023 16:57,R_2OTGnTCyhUyuour,,,,,40.8123,-73.9682,anonymous,EN,,Holiday Park,,Single-family home,,Own/mortgage,5-10 years,3 cats,No,Yes,Yes,Rarely (once every 2-3 months),I never interact with free-roaming cats in my neighborhood.,I worry for their safety ,Maybe get eaten by coyotes,I don’t anticipate a change,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/3/2023 18:36,1/3/2023 18:38,IP Address,173.75.16.55,100,139,True,1/3/2023 18:38,R_33dm4M3nJ2G6hNl,,,,,40.4562,-79.8163,anonymous,EN,,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,3 cats,No,Yes,No,At least once a day,Rarely (once every 2-3 months),,They are harmful to native wildlife,It would be better for the environment.,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Male,White,,25-34
1/3/2023 20:11,1/3/2023 20:14,IP Address,173.75.46.79,100,189,True,1/3/2023 20:14,R_1HkofmQleaKB6JJ,,,,,40.476,-79.7355,anonymous,EN,,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,2 Dogs,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,Nuisance as they rip open my trash and leave excrement ,They obliterate the poor creatures ,Cleaner,Yes,Yes,Trapping and euthanizing,Male,White,,55 or older
1/3/2023 20:11,1/3/2023 20:15,IP Address,67.171.84.171,100,297,True,1/3/2023 20:15,R_3PS0x2ev4L2jsZ3,,,,,40.4562,-79.8163,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,2,No,Yes,Yes,At least once a day,I never interact with free-roaming cats in my neighborhood.,I wish people would be responsible pet owners and keep their pets inside where they belong,"I have seen first hand for many years tore up bunny nests, found dead small rodents, and birds",It would be better if they were removed for their own good and that of all the homeowners in thw area who have to deal w cats defacting by windows and killing our birds,No,Yes,Trapping and taking to a shelter,Female,White,,35-44
